# Comparison of SuperDARN MSTID Mongo Databases
# Generated by Nathaniel Frissell, nathaniel.frissell@scranton.edu
#
# reject_code Explanations:
#   0: Good Period (Not Rejected)
#   1: High Terminator Fraction (Dawn/Dusk in Observational Window
#   2: No Data
#   3: Poor Data Quality (including "Low RTI Fraction" and "Failed Quality Check")
#   4: Other (including "No RTI Fraction" and "No Terminator Fraction")
#
,sDatetime,fDatetime,radar,mstid_2016:category_manu,mstid_2016:meanSubIntSpect_by_rtiCnt,mstid_2016:reject_code,mstid_2016:collection,fitexfilter:category_manu,fitexfilter:meanSubIntSpect_by_rtiCnt,fitexfilter:reject_code,fitexfilter:collection
16,2012-11-03 20:00:00,2012-11-03 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
17,2012-11-03 22:00:00,2012-11-04 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
18,2012-11-04 12:00:00,2012-11-04 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
19,2012-11-04 14:00:00,2012-11-04 16:00:00,bks,quiet,-0.0008443071383233542,0,guc_bks_20121101_20130501,quiet,-0.008140736141018814,0,guc_bks_20121101_20130501
20,2012-11-04 16:00:00,2012-11-04 18:00:00,bks,None,,3,guc_bks_20121101_20130501,quiet,-0.004998787209290549,0,guc_bks_20121101_20130501
21,2012-11-04 18:00:00,2012-11-04 20:00:00,bks,mstid,0.003979196429662068,0,guc_bks_20121101_20130501,mstid,0.0010155621556253989,0,guc_bks_20121101_20130501
22,2012-11-04 20:00:00,2012-11-04 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
23,2012-11-04 22:00:00,2012-11-05 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
24,2012-11-05 12:00:00,2012-11-05 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
25,2012-11-05 14:00:00,2012-11-05 16:00:00,bks,quiet,-0.008543285158822803,0,guc_bks_20121101_20130501,quiet,-0.006247387782052815,0,guc_bks_20121101_20130501
26,2012-11-05 16:00:00,2012-11-05 18:00:00,bks,quiet,-0.004081840119864877,0,guc_bks_20121101_20130501,mstid,0.0062991020803856435,0,guc_bks_20121101_20130501
27,2012-11-05 18:00:00,2012-11-05 20:00:00,bks,quiet,-0.003371784319383533,0,guc_bks_20121101_20130501,quiet,-0.007329503056636601,0,guc_bks_20121101_20130501
28,2012-11-05 20:00:00,2012-11-05 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
29,2012-11-05 22:00:00,2012-11-06 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
30,2012-11-06 12:00:00,2012-11-06 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
31,2012-11-06 14:00:00,2012-11-06 16:00:00,bks,mstid,0.008969260680215162,0,guc_bks_20121101_20130501,mstid,0.009215624261478036,0,guc_bks_20121101_20130501
32,2012-11-06 16:00:00,2012-11-06 18:00:00,bks,mstid,0.0014890231090535966,0,guc_bks_20121101_20130501,mstid,0.0039871629742168745,0,guc_bks_20121101_20130501
33,2012-11-06 18:00:00,2012-11-06 20:00:00,bks,None,,3,guc_bks_20121101_20130501,quiet,-0.011029324127008015,0,guc_bks_20121101_20130501
34,2012-11-06 20:00:00,2012-11-06 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
35,2012-11-06 22:00:00,2012-11-07 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
36,2012-11-07 12:00:00,2012-11-07 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
37,2012-11-07 14:00:00,2012-11-07 16:00:00,bks,mstid,0.02060823249693146,0,guc_bks_20121101_20130501,mstid,0.04502640168437352,0,guc_bks_20121101_20130501
38,2012-11-07 16:00:00,2012-11-07 18:00:00,bks,mstid,0.021696090790149315,0,guc_bks_20121101_20130501,mstid,0.03971013881078114,0,guc_bks_20121101_20130501
39,2012-11-07 18:00:00,2012-11-07 20:00:00,bks,mstid,0.01245552062614163,0,guc_bks_20121101_20130501,mstid,0.023231323996318456,0,guc_bks_20121101_20130501
40,2012-11-07 20:00:00,2012-11-07 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
41,2012-11-07 22:00:00,2012-11-08 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
42,2012-11-08 12:00:00,2012-11-08 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
43,2012-11-08 14:00:00,2012-11-08 16:00:00,bks,mstid,0.0047654358017601385,0,guc_bks_20121101_20130501,mstid,0.015975428874608857,0,guc_bks_20121101_20130501
44,2012-11-08 16:00:00,2012-11-08 18:00:00,bks,mstid,0.0031055553856626597,0,guc_bks_20121101_20130501,mstid,0.004310016883183532,0,guc_bks_20121101_20130501
45,2012-11-08 18:00:00,2012-11-08 20:00:00,bks,quiet,-8.845888119743288e-05,0,guc_bks_20121101_20130501,mstid,0.005150841152028213,0,guc_bks_20121101_20130501
46,2012-11-08 20:00:00,2012-11-08 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
47,2012-11-08 22:00:00,2012-11-09 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
48,2012-11-09 12:00:00,2012-11-09 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
49,2012-11-09 14:00:00,2012-11-09 16:00:00,bks,mstid,0.004750217985410436,0,guc_bks_20121101_20130501,mstid,0.006832422686143523,0,guc_bks_20121101_20130501
50,2012-11-09 16:00:00,2012-11-09 18:00:00,bks,mstid,0.0033596997217734325,0,guc_bks_20121101_20130501,mstid,0.007293172256938427,0,guc_bks_20121101_20130501
51,2012-11-09 18:00:00,2012-11-09 20:00:00,bks,mstid,0.003592424665635606,0,guc_bks_20121101_20130501,mstid,0.008881798817914607,0,guc_bks_20121101_20130501
52,2012-11-09 20:00:00,2012-11-09 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
53,2012-11-09 22:00:00,2012-11-10 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
54,2012-11-10 12:00:00,2012-11-10 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
55,2012-11-10 14:00:00,2012-11-10 16:00:00,bks,quiet,-0.002365996112570427,0,guc_bks_20121101_20130501,mstid,0.006322439954304042,0,guc_bks_20121101_20130501
56,2012-11-10 16:00:00,2012-11-10 18:00:00,bks,quiet,-0.006201342902018561,0,guc_bks_20121101_20130501,quiet,-0.02028985308785724,0,guc_bks_20121101_20130501
57,2012-11-10 18:00:00,2012-11-10 20:00:00,bks,quiet,-0.006162825282227871,0,guc_bks_20121101_20130501,quiet,-0.01091104010506473,0,guc_bks_20121101_20130501
58,2012-11-10 20:00:00,2012-11-10 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
59,2012-11-10 22:00:00,2012-11-11 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
60,2012-11-11 12:00:00,2012-11-11 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
61,2012-11-11 14:00:00,2012-11-11 16:00:00,bks,mstid,0.00632591739615392,0,guc_bks_20121101_20130501,mstid,0.012146748297724939,0,guc_bks_20121101_20130501
62,2012-11-11 16:00:00,2012-11-11 18:00:00,bks,mstid,0.005525281915617226,0,guc_bks_20121101_20130501,quiet,-0.011949600484329841,0,guc_bks_20121101_20130501
63,2012-11-11 18:00:00,2012-11-11 20:00:00,bks,mstid,0.01009580018238274,0,guc_bks_20121101_20130501,mstid,0.018087522163979127,0,guc_bks_20121101_20130501
64,2012-11-11 20:00:00,2012-11-11 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
65,2012-11-11 22:00:00,2012-11-12 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
66,2012-11-12 12:00:00,2012-11-12 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
67,2012-11-12 14:00:00,2012-11-12 16:00:00,bks,mstid,0.003708303509448923,0,guc_bks_20121101_20130501,quiet,-0.007977287451360426,0,guc_bks_20121101_20130501
68,2012-11-12 16:00:00,2012-11-12 18:00:00,bks,quiet,-0.0015957444366682578,0,guc_bks_20121101_20130501,quiet,-0.0031104345078229955,0,guc_bks_20121101_20130501
69,2012-11-12 18:00:00,2012-11-12 20:00:00,bks,None,,3,guc_bks_20121101_20130501,mstid,0.0006967406651638676,0,guc_bks_20121101_20130501
70,2012-11-12 20:00:00,2012-11-12 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
71,2012-11-12 22:00:00,2012-11-13 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
72,2012-11-13 12:00:00,2012-11-13 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
73,2012-11-13 14:00:00,2012-11-13 16:00:00,bks,mstid,0.0029872097834969373,0,guc_bks_20121101_20130501,mstid,0.00789502738056056,0,guc_bks_20121101_20130501
74,2012-11-13 16:00:00,2012-11-13 18:00:00,bks,mstid,0.0027630917419549646,0,guc_bks_20121101_20130501,mstid,0.0326004746789792,0,guc_bks_20121101_20130501
75,2012-11-13 18:00:00,2012-11-13 20:00:00,bks,quiet,-0.0007189552539964255,0,guc_bks_20121101_20130501,mstid,0.022662798892259237,0,guc_bks_20121101_20130501
76,2012-11-13 20:00:00,2012-11-13 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
77,2012-11-13 22:00:00,2012-11-14 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
78,2012-11-14 12:00:00,2012-11-14 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
79,2012-11-14 14:00:00,2012-11-14 16:00:00,bks,mstid,0.01185826277343005,0,guc_bks_20121101_20130501,mstid,0.010229157923881765,0,guc_bks_20121101_20130501
80,2012-11-14 16:00:00,2012-11-14 18:00:00,bks,quiet,-0.002757976573700261,0,guc_bks_20121101_20130501,mstid,0.025328615036233414,0,guc_bks_20121101_20130501
81,2012-11-14 18:00:00,2012-11-14 20:00:00,bks,mstid,6.099741718516535e-05,0,guc_bks_20121101_20130501,quiet,-0.0004901527127860746,0,guc_bks_20121101_20130501
82,2012-11-14 20:00:00,2012-11-14 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
83,2012-11-14 22:00:00,2012-11-15 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
84,2012-11-15 12:00:00,2012-11-15 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
85,2012-11-15 14:00:00,2012-11-15 16:00:00,bks,mstid,0.011261520058013308,0,guc_bks_20121101_20130501,mstid,0.014866274565898726,0,guc_bks_20121101_20130501
86,2012-11-15 16:00:00,2012-11-15 18:00:00,bks,mstid,0.012203479995075454,0,guc_bks_20121101_20130501,mstid,0.023139006081968123,0,guc_bks_20121101_20130501
87,2012-11-15 18:00:00,2012-11-15 20:00:00,bks,mstid,0.002259122560777823,0,guc_bks_20121101_20130501,mstid,0.009577847724180341,0,guc_bks_20121101_20130501
88,2012-11-15 20:00:00,2012-11-15 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
89,2012-11-15 22:00:00,2012-11-16 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
90,2012-11-16 12:00:00,2012-11-16 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
91,2012-11-16 14:00:00,2012-11-16 16:00:00,bks,mstid,0.0024143379479993946,0,guc_bks_20121101_20130501,mstid,0.002926155683962679,0,guc_bks_20121101_20130501
92,2012-11-16 16:00:00,2012-11-16 18:00:00,bks,mstid,0.0031716722717492762,0,guc_bks_20121101_20130501,mstid,0.012712222638541775,0,guc_bks_20121101_20130501
93,2012-11-16 18:00:00,2012-11-16 20:00:00,bks,mstid,0.0046656220695056524,0,guc_bks_20121101_20130501,mstid,0.01011648468607338,0,guc_bks_20121101_20130501
94,2012-11-16 20:00:00,2012-11-16 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
95,2012-11-16 22:00:00,2012-11-17 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
96,2012-11-17 12:00:00,2012-11-17 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
97,2012-11-17 14:00:00,2012-11-17 16:00:00,bks,mstid,0.015565238032524114,0,guc_bks_20121101_20130501,mstid,0.003419093653378708,0,guc_bks_20121101_20130501
98,2012-11-17 16:00:00,2012-11-17 18:00:00,bks,mstid,0.00546496118854822,0,guc_bks_20121101_20130501,mstid,0.00437982412484976,0,guc_bks_20121101_20130501
99,2012-11-17 18:00:00,2012-11-17 20:00:00,bks,mstid,0.005561901120137677,0,guc_bks_20121101_20130501,mstid,0.003380629411433949,0,guc_bks_20121101_20130501
100,2012-11-17 20:00:00,2012-11-17 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
101,2012-11-17 22:00:00,2012-11-18 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
102,2012-11-18 12:00:00,2012-11-18 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
103,2012-11-18 14:00:00,2012-11-18 16:00:00,bks,mstid,0.015747041169921705,0,guc_bks_20121101_20130501,mstid,0.014612220320601043,0,guc_bks_20121101_20130501
104,2012-11-18 16:00:00,2012-11-18 18:00:00,bks,mstid,0.024240924449332783,0,guc_bks_20121101_20130501,mstid,0.04147087378256667,0,guc_bks_20121101_20130501
105,2012-11-18 18:00:00,2012-11-18 20:00:00,bks,mstid,0.010261806035473683,0,guc_bks_20121101_20130501,mstid,0.01108443359579773,0,guc_bks_20121101_20130501
106,2012-11-18 20:00:00,2012-11-18 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
107,2012-11-18 22:00:00,2012-11-19 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
108,2012-11-19 12:00:00,2012-11-19 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
109,2012-11-19 14:00:00,2012-11-19 16:00:00,bks,mstid,0.0015592631645689502,0,guc_bks_20121101_20130501,mstid,0.015457351934997523,0,guc_bks_20121101_20130501
110,2012-11-19 16:00:00,2012-11-19 18:00:00,bks,mstid,0.00895288408068059,0,guc_bks_20121101_20130501,mstid,0.013003468248352626,0,guc_bks_20121101_20130501
111,2012-11-19 18:00:00,2012-11-19 20:00:00,bks,mstid,0.005608575411189612,0,guc_bks_20121101_20130501,mstid,0.004768861352703054,0,guc_bks_20121101_20130501
112,2012-11-19 20:00:00,2012-11-19 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
113,2012-11-19 22:00:00,2012-11-20 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
114,2012-11-20 12:00:00,2012-11-20 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
115,2012-11-20 14:00:00,2012-11-20 16:00:00,bks,mstid,0.01803637885991149,0,guc_bks_20121101_20130501,mstid,0.03683016760967332,0,guc_bks_20121101_20130501
116,2012-11-20 16:00:00,2012-11-20 18:00:00,bks,mstid,0.013818706726325866,0,guc_bks_20121101_20130501,mstid,0.03872301177327916,0,guc_bks_20121101_20130501
117,2012-11-20 18:00:00,2012-11-20 20:00:00,bks,mstid,0.010795426562158074,0,guc_bks_20121101_20130501,mstid,0.016924558619814976,0,guc_bks_20121101_20130501
118,2012-11-20 20:00:00,2012-11-20 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
119,2012-11-20 22:00:00,2012-11-21 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
120,2012-11-21 12:00:00,2012-11-21 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
121,2012-11-21 14:00:00,2012-11-21 16:00:00,bks,mstid,0.01585418368679569,0,guc_bks_20121101_20130501,mstid,0.023721972273897714,0,guc_bks_20121101_20130501
122,2012-11-21 16:00:00,2012-11-21 18:00:00,bks,mstid,0.01688963021469257,0,guc_bks_20121101_20130501,mstid,0.018721549636519702,0,guc_bks_20121101_20130501
123,2012-11-21 18:00:00,2012-11-21 20:00:00,bks,mstid,0.007680505527294915,0,guc_bks_20121101_20130501,mstid,0.006946851757275637,0,guc_bks_20121101_20130501
124,2012-11-21 20:00:00,2012-11-21 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
125,2012-11-21 22:00:00,2012-11-22 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
126,2012-11-22 12:00:00,2012-11-22 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
127,2012-11-22 14:00:00,2012-11-22 16:00:00,bks,mstid,0.006136771835213373,0,guc_bks_20121101_20130501,mstid,0.007720867103095388,0,guc_bks_20121101_20130501
128,2012-11-22 16:00:00,2012-11-22 18:00:00,bks,mstid,0.0033655806610889,0,guc_bks_20121101_20130501,mstid,0.010176561732500648,0,guc_bks_20121101_20130501
129,2012-11-22 18:00:00,2012-11-22 20:00:00,bks,None,,3,guc_bks_20121101_20130501,mstid,0.010416671331452562,0,guc_bks_20121101_20130501
130,2012-11-22 20:00:00,2012-11-22 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
131,2012-11-22 22:00:00,2012-11-23 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
132,2012-11-23 12:00:00,2012-11-23 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
133,2012-11-23 14:00:00,2012-11-23 16:00:00,bks,mstid,0.01152947414976583,0,guc_bks_20121101_20130501,mstid,0.01649380526070968,0,guc_bks_20121101_20130501
134,2012-11-23 16:00:00,2012-11-23 18:00:00,bks,mstid,0.007301635337349824,0,guc_bks_20121101_20130501,mstid,0.013668774337667272,0,guc_bks_20121101_20130501
135,2012-11-23 18:00:00,2012-11-23 20:00:00,bks,None,,3,guc_bks_20121101_20130501,mstid,0.014323800925522105,0,guc_bks_20121101_20130501
136,2012-11-23 20:00:00,2012-11-23 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
137,2012-11-23 22:00:00,2012-11-24 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
138,2012-11-24 12:00:00,2012-11-24 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
139,2012-11-24 14:00:00,2012-11-24 16:00:00,bks,mstid,0.010134932466102326,0,guc_bks_20121101_20130501,mstid,0.0102366943359375,0,guc_bks_20121101_20130501
140,2012-11-24 16:00:00,2012-11-24 18:00:00,bks,mstid,0.019546865512364852,0,guc_bks_20121101_20130501,mstid,0.029859649115553555,0,guc_bks_20121101_20130501
141,2012-11-24 18:00:00,2012-11-24 20:00:00,bks,None,,3,guc_bks_20121101_20130501,mstid,0.001285994331803875,0,guc_bks_20121101_20130501
142,2012-11-24 20:00:00,2012-11-24 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
143,2012-11-24 22:00:00,2012-11-25 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
144,2012-11-25 12:00:00,2012-11-25 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
145,2012-11-25 14:00:00,2012-11-25 16:00:00,bks,mstid,0.012179171301058698,0,guc_bks_20121101_20130501,mstid,0.022087556525329427,0,guc_bks_20121101_20130501
146,2012-11-25 16:00:00,2012-11-25 18:00:00,bks,mstid,0.009673245243878805,0,guc_bks_20121101_20130501,mstid,0.017652037877838783,0,guc_bks_20121101_20130501
147,2012-11-25 18:00:00,2012-11-25 20:00:00,bks,None,,3,guc_bks_20121101_20130501,mstid,0.007324581671874314,0,guc_bks_20121101_20130501
148,2012-11-25 20:00:00,2012-11-25 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
149,2012-11-25 22:00:00,2012-11-26 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
150,2012-11-26 12:00:00,2012-11-26 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
151,2012-11-26 14:00:00,2012-11-26 16:00:00,bks,mstid,0.0074846332224583765,0,guc_bks_20121101_20130501,mstid,0.018561710976123455,0,guc_bks_20121101_20130501
152,2012-11-26 16:00:00,2012-11-26 18:00:00,bks,mstid,0.0017311102747856913,0,guc_bks_20121101_20130501,mstid,0.0054402935357483655,0,guc_bks_20121101_20130501
153,2012-11-26 18:00:00,2012-11-26 20:00:00,bks,mstid,0.005301074354522822,0,guc_bks_20121101_20130501,quiet,-0.006604365284300321,0,guc_bks_20121101_20130501
154,2012-11-26 20:00:00,2012-11-26 22:00:00,bks,None,,3,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
155,2012-11-26 22:00:00,2012-11-27 00:00:00,bks,None,,3,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
156,2012-11-27 12:00:00,2012-11-27 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
157,2012-11-27 14:00:00,2012-11-27 16:00:00,bks,None,,3,guc_bks_20121101_20130501,mstid,0.04837074947316475,0,guc_bks_20121101_20130501
158,2012-11-27 16:00:00,2012-11-27 18:00:00,bks,mstid,0.002397445050942273,0,guc_bks_20121101_20130501,mstid,0.012162799081201959,0,guc_bks_20121101_20130501
159,2012-11-27 18:00:00,2012-11-27 20:00:00,bks,quiet,-0.0011378562988294816,0,guc_bks_20121101_20130501,quiet,-0.003709459062550039,0,guc_bks_20121101_20130501
160,2012-11-27 20:00:00,2012-11-27 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
161,2012-11-27 22:00:00,2012-11-28 00:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
162,2012-11-28 12:00:00,2012-11-28 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
163,2012-11-28 14:00:00,2012-11-28 16:00:00,bks,mstid,0.010112785734153858,0,guc_bks_20121101_20130501,mstid,0.011531430547783598,0,guc_bks_20121101_20130501
164,2012-11-28 16:00:00,2012-11-28 18:00:00,bks,None,,3,guc_bks_20121101_20130501,mstid,0.005624229154350834,0,guc_bks_20121101_20130501
165,2012-11-28 18:00:00,2012-11-28 20:00:00,bks,None,,3,guc_bks_20121101_20130501,quiet,-0.0013907855371616442,0,guc_bks_20121101_20130501
166,2012-11-28 20:00:00,2012-11-28 22:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
167,2012-11-28 22:00:00,2012-11-29 00:00:00,bks,None,,3,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
168,2012-11-29 12:00:00,2012-11-29 14:00:00,bks,None,,1,guc_bks_20121101_20130501,None,,1,guc_bks_20121101_20130501
169,2012-11-29 14:00:00,2012-11-29 16:00:00,bks,None,,3,guc_bks_20121101_20130501,None,,3,guc_bks_20121101_20130501
